sample_index,label_id,label_name,predicted_label_id,neuron_idx,input_idx,manual_grad,autograd_grad,abs_error,rel_error,gate_active,bn_scale,upstream_grad_a1_i,x_j,passed
1471,0,thumbs_up,0,18,112,-4.5957922259017955e-06,-4.5957926886330824e-06,4.627312869356394e-13,1.0068584861978807e-07,True,0.09050733633108753,-1.902201802295167e-05,2.6694390773773193,True
1577,0,thumbs_up,0,18,112,-2.3372913158008623e-05,-2.337291334697511e-05,1.8896648772115908e-13,8.08484953997465e-09,True,0.09050733633108753,-0.00013252395729068667,1.9486536979675293,True
2264,1,thumbs_down,1,18,112,2.6725944060733544e-05,2.6725947464001365e-05,3.4032678205512396e-12,1.2733946383510954e-07,True,0.09050733633108753,0.00020663891336880624,1.4290162324905396,True
5760,7,fist,7,18,112,1.3511774239857194e-06,1.3511773886420997e-06,3.5343619688444077e-14,2.6157645906111227e-08,True,0.09050733633108753,-1.7345952073810622e-05,-0.8606576919555664,True
10199,3,ok,3,18,112,-3.229680888455083e-06,-3.2296809422405204e-06,5.378543722122449e-14,1.6653483171595278e-08,True,0.09050733633108753,5.2566163503797725e-05,-0.6788433194160461,True
10272,3,ok,3,18,112,-8.330467325480492e-07,-8.330468403983105e-07,1.07850261272079e-13,1.2946482243484868e-07,True,0.09050733633108753,3.016186019522138e-05,-0.30515989661216736,True
11163,3,ok,3,18,112,-4.350055345866437e-06,-4.350055405666353e-06,5.979991621243158e-14,1.374693208149409e-08,True,0.09050733633108753,6.582660716958344e-05,-0.7301456928253174,True
11460,10,count_1,10,18,112,-5.46317350383832e-05,-5.463173511088826e-05,7.250505805554003e-14,1.3271600821093008e-09,True,0.09050733633108753,0.0017877456266433,-0.33764123916625977,True
20056,4,call,4,18,112,-6.197994621659901e-05,-6.197994662215933e-05,4.0556032382225993e-13,6.543411957009693e-09,True,0.09050733633108753,-0.0002474650973454118,2.767282247543335,True
21433,6,mute,6,18,112,0.0003657280629395156,0.00036572807584889233,1.2909376746837037e-11,3.529774605592707e-08,True,0.09050733633108753,-0.006867486052215099,-0.5884054899215698,True
31495,0,thumbs_up,0,18,112,-7.2300665374129155e-06,-7.230066785268718e-06,2.478558028577108e-13,3.428126049440065e-08,True,0.09050733633108753,-2.1257579646771774e-05,3.7578954696655273,True
31781,1,thumbs_down,1,18,112,4.096111652348349e-05,4.096112024853937e-05,3.725055881158637e-12,9.094125987170647e-08,True,0.09050733633108753,0.002406596438959241,0.18805493414402008,True
