label_id,label_name,support,accuracy,precision,recall,f1,latency_mean_ms,latency_median_ms,latency_p95_ms
0,thumbs_up,2875,0.9958260869565217,0.9940972222222222,0.9958260869565217,0.9949609035621199,0.2780005,0.20525,0.5595449999999993
1,thumbs_down,2855,0.9975481611208407,0.9933728636205092,0.9975481611208407,0.9954561342188046,0.29249250000000004,0.23195,0.5876499999999996
2,stop,2860,0.9958041958041958,0.9875173370319001,0.9958041958041958,0.9916434540389972,0.16936900000000002,0.1216,0.38891499999999973
3,ok,2985,0.9979899497487437,0.9993290841999329,0.9979899497487437,0.9986590680522963,0.3114835,0.28595,0.6024749999999994
4,call,2651,0.992078460958129,0.9984813971146546,0.992078460958129,0.9952696310312205,0.240464,0.1895,0.5008199999999996
5,rock,3087,0.9954648526077098,0.9990247074122237,0.9954648526077098,0.9972416031153659,0.229994,0.18,0.48695499999999997
6,mute,2974,0.991930060524546,0.959037711313394,0.991930060524546,0.9752066115702479,0.271501,0.21539999999999998,0.5307299999999999
7,fist,2848,0.9968398876404494,0.9909249563699826,0.9968398876404494,0.993873621564852,0.2191325,0.18109999999999998,0.4665499999999999
8,peace,5782,0.9963680387409201,0.9939613526570048,0.9963680387409201,0.9951632406287787,0.161416,0.12065000000000001,0.4116499999999999
9,open_palm,3001,0.9900033322225925,0.9946434549715434,0.9900033322225925,0.9923179692718771,0.1645935,0.11915,0.41605499999999995
10,count_1,3052,0.9538007863695938,0.9881194840461643,0.9538007863695938,0.9706568856285428,0.17323149999999998,0.1412,0.4137249999999999
11,count_3,2870,0.9898954703832753,0.9968421052631579,0.9898954703832753,0.9933566433566433,0.17148850000000004,0.1308,0.37022999999999995
12,count_4,2998,0.9959973315543695,0.9966622162883845,0.9959973315543695,0.9963296629963296,0.1593495,0.1202,0.34426499999999943
13,count_6,3,1.0,1.0,1.0,1.0,0.5589000000000001,,
14,count_7,9,1.0,1.0,1.0,1.0,0.18083333333333332,0.1623,0.31992
15,count_8,5,1.0,1.0,1.0,1.0,0.22157999999999997,0.1508,0.38583999999999996
16,count_9,3,1.0,1.0,1.0,1.0,0.15243333333333334,,
17,count_10,4,1.0,1.0,1.0,1.0,0.19360000000000002,,
18,count_11,4,1.0,1.0,1.0,1.0,0.12482499999999999,,
19,count_12,4,1.0,1.0,1.0,1.0,0.12987500000000002,,
20,count_13,6,1.0,1.0,1.0,1.0,0.12168333333333332,0.12015,0.131
21,count_14,5,1.0,1.0,1.0,1.0,0.13196000000000002,0.1255,0.14574
22,count_15,5,1.0,1.0,1.0,1.0,0.20258000000000004,0.121,0.43241999999999997
23,count_16,4,1.0,1.0,1.0,1.0,0.132725,,
24,count_17,3,1.0,1.0,1.0,1.0,0.14556666666666665,,
25,count_18,2,1.0,1.0,1.0,1.0,0.1263,,
