sample_index,label_id,label_name,predicted_label_id,neuron_idx,input_idx,manual_grad,autograd_grad,abs_error,rel_error,gate_active,bn_scale,upstream_grad_a1_i,x_j,passed
935,0,thumbs_up,0,29,112,1.0185462306419805e-05,1.0185462997469585e-05,6.910497801976886e-13,6.784667328027884e-08,True,0.13842201105956145,2.332536860194523e-05,3.1546201705932617,True
1003,0,thumbs_up,0,29,112,-5.5981326601663125e-06,-5.598132702289149e-06,4.212283665860732e-14,7.52444411354928e-09,True,0.13842201105956145,-1.5477264241781086e-05,2.6130266189575195,True
1427,0,thumbs_up,0,29,112,-1.988493831375837e-05,-1.9884937501046807e-05,8.127115618667118e-13,4.0870712408521684e-08,True,0.13842201105956145,-4.6363835281226784e-05,3.0984160900115967,True
11298,10,count_1,10,29,112,8.287091095896313e-05,8.287090895464644e-05,2.004316688748037e-12,2.4186010676496362e-08,True,0.13842201105956145,-0.0010635030921548605,-0.562934935092926,True
12722,10,count_1,10,29,112,2.1200275178544976e-05,2.120027602359187e-05,8.450468921622142e-13,3.986018348166024e-08,True,0.13842201105956145,-0.0004567231226246804,-0.33533844351768494,True
12769,10,count_1,10,29,112,4.2424560508333106e-05,4.2424559069331735e-05,1.439001370319437e-12,3.3919064850332784e-08,True,0.13842201105956145,-0.0005513701471500099,-0.5558645129203796,True
13335,10,count_1,10,29,112,6.0202297932070166e-05,6.020230284775607e-05,4.915685907099215e-12,8.16527885906683e-08,True,0.13842201105956145,-0.0014802340883761644,-0.293817400932312,True
13443,10,count_1,10,29,112,0.000997160138924328,0.000997160212136805,7.321247709642098e-11,7.342097709608235e-08,True,0.13842201105956145,-0.026127735152840614,-0.2757134735584259,True
24962,6,mute,6,29,112,1.0649788571993599e-05,1.064978823706042e-05,3.3493317846836415e-13,3.1449750080740875e-08,True,0.13842201105956145,-0.00035530654713511467,-0.2165372520685196,True
25296,6,mute,6,29,112,0.00022186212775629645,0.00022186212299857289,4.75772356624618e-12,2.1444505722487763e-08,True,0.13842201105956145,-0.005137789063155651,-0.3119620382785797,True
37029,8,peace,11,29,112,0.0001780535537648289,0.00017805355309974402,6.650848762782685e-13,3.735308083999278e-09,True,0.13842201105956145,0.01575210504233837,0.08165953308343887,True
38288,0,thumbs_up,0,29,112,1.4334459561940813e-05,1.4334461411635857e-05,1.8496950441449075e-12,1.2903833573010533e-07,True,0.13842201105956145,3.722795736393891e-05,2.7816786766052246,True
